GBP/JPY / 1day / VOLATILITY_SQUEEZE ma100: done (20.8s, 5000 candles)
GBP/JPY / 1week / VOLATILITY_SQUEEZE ma100: done (11.4s, 2897 candles)
AUD/USD / 1h / VOLATILITY_SQUEEZE ma100: done (15.1s, 4990 candles)
AUD/USD / 4h / VOLATILITY_SQUEEZE ma100: done (20.4s, 4997 candles)
AUD/USD / 1day / VOLATILITY_SQUEEZE ma100: done (19.8s, 5000 candles)
AUD/USD / 1week / VOLATILITY_SQUEEZE ma100: done (11.4s, 2898 candles)
NZD/USD / 1h / VOLATILITY_SQUEEZE ma100: done (18.4s, 4990 candles)
NZD/USD / 4h / VOLATILITY_SQUEEZE ma100: done (19.6s, 4997 candles)
NZD/USD / 1day / VOLATILITY_SQUEEZE ma100: done (20.3s, 5000 candles)
NZD/USD / 1week / VOLATILITY_SQUEEZE ma100: done (11.5s, 2897 candles)
USD/CAD / 1h / VOLATILITY_SQUEEZE ma100: done (20.0s, 4990 candles)
USD/CAD / 4h / VOLATILITY_SQUEEZE ma100: done (20.4s, 4997 candles)
USD/CAD / 1day / VOLATILITY_SQUEEZE ma100: done (21.0s, 5000 candles)
USD/CAD / 1week / VOLATILITY_SQUEEZE ma100: done (9.2s, 2325 candles)
EUR/USD / 1week / DONCHIAN_TREND: done (9.0s, 2201 candles)
GBP/USD / 1week / DONCHIAN_TREND: done (12.9s, 2898 candles)
USD/JPY / 1week / DONCHIAN_TREND: done (12.3s, 2897 candles)
USD/CHF / 1week / DONCHIAN_TREND: done (12.1s, 2898 candles)
EUR/GBP / 1week / DONCHIAN_TREND: done (9.8s, 2099 candles)
EUR/JPY / 1week / DONCHIAN_TREND: done (11.8s, 2691 candles)
GBP/JPY / 1week / DONCHIAN_TREND: done (12.9s, 2897 candles)
AUD/USD / 1week / DONCHIAN_TREND: done (12.1s, 2898 candles)
NZD/USD / 1week / DONCHIAN_TREND: done (13.0s, 2897 candles)
USD/CAD / 1week / DONCHIAN_TREND: done (10.0s, 2325 candles)
EUR/USD / 1h / FVG_REVERSION: done (26.8s, 4990 candles)
EUR/USD / 4h / FVG_REVERSION: done (26.3s, 4997 candles)
EUR/USD / 1day / FVG_REVERSION: done (30.1s, 5000 candles)
GBP/USD / 1h / FVG_REVERSION: done (25.3s, 4990 candles)
GBP/USD / 4h / FVG_REVERSION: done (27.3s, 4997 candles)
GBP/USD / 1day / FVG_REVERSION: done (27.9s, 5000 candles)
USD/JPY / 1h / FVG_REVERSION: done (25.8s, 4990 candles)
USD/JPY / 4h / FVG_REVERSION: done (26.8s, 4997 candles)
USD/JPY / 1day / FVG_REVERSION: done (28.0s, 5000 candles)
USD/CHF / 1h / FVG_REVERSION: done (23.8s, 4990 candles)
USD/CHF / 4h / FVG_REVERSION: done (25.0s, 4997 candles)
USD/CHF / 1day / FVG_REVERSION: done (27.3s, 5000 candles)
